Liechtenstein Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
North Macedonia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Nauru Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Palau Travel Advisory,Level 2: Exercise Increased Caution,"April 20, 2021"
Burma (Myanmar) Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Worldwide Caution,Caution,"January 15, 2019"
Afghanistan Travel Advisory,Level 4: Do Not Travel,"April 27, 2021"
Albania Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Algeria Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Andorra Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Angola Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Anguilla Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Antarctica Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Antigua and Barbuda Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Botswana Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Cabo Verde Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Comoros Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Djibouti Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Equatorial Guinea Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Guinea Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Lesotho Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Namibia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Eswatini Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Australia Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Brunei Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Fiji Travel Advisory,Level 3: Reconsider Travel,"April 22, 2021"
French Polynesia Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Hong Kong Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Japan Travel Advisory,Level 3: Reconsider Travel,"April 26, 2021"
Kiribati Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Macau Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Mongolia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
New Caledonia Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
New Zealand Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Papua New Guinea Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Samoa Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Austria Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Belarus Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Belgium Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Bulgaria Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Croatia Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Cyprus Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Czech Republic Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Denmark Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Estonia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Finland Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
France Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Germany Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Greece Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Hungary Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Iceland Travel Advisory,Level 3: Reconsider Travel,"April 26, 2021"
Ireland Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Latvia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Lithuania Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Luxembourg Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Malta Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Montenegro Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Netherlands Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Norway Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Poland Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Portugal Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Romania Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Serbia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Slovakia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Slovenia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Spain Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Sweden Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Switzerland Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
United Kingdom Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Kazakhstan Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
United Arab Emirates Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Aruba Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Barbados Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Belize Travel Advisory,Level 2: Exercise Increased Caution,"April 20, 2021"
Bermuda Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
"Bonaire, Sint Eustatius and Saba Travel Advisory",Level 4: Do Not Travel,"April 21, 2021"
Brazil Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Cayman Islands Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Curacao Travel Advisory,Level 4: Do Not Travel,"April 9, 2021"
French West Indies Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Montserrat Travel Advisory,Level 2: Exercise Increased Caution,"April 21, 2021"
Saint Kitts and Nevis Travel Advisory,Level 2: Exercise Increased Caution,"April 20, 2021"
Saint Lucia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Sint Maarten Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
Saint Vincent and The Grenadines Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Trinidad and Tobago Travel Advisory,Level 4: Do Not Travel,"April 26, 2021"
South Sudan Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Turks and Caicos Islands Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Grenada Travel Advisory,Level 2: Exercise Increased Caution,"April 20, 2021"
Guatemala Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Guyana Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Haiti Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Honduras Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
India Travel Advisory,Level 4: Do Not Travel,"April 28, 2021"
Indonesia Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Iran Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Iraq Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
"Israel, The West Bank and Gaza Travel Advisory",Level 3: Reconsider Travel,"April 26, 2021"
Italy Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Jamaica Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Jordan Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Kenya Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
North Korea (Democratic People's Republic of Korea) Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
South Korea Travel Advisory,Level 2: Exercise Increased Caution,"April 20, 2021"
Kosovo Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Kuwait Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
The Kyrgyz Republic Travel Advisory,Level 3: Reconsider Travel,"April 20, 2021"
Laos Travel Advisory,Level 4: Do Not Travel,"April 22, 2021"
Lebanon Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Liberia Travel Advisory,Level 2: Exercise Increased Caution,"April 21, 2021"
Libya Travel Advisory,Level 4: Do Not Travel,"April 21, 2021"
Madagascar Travel Advisory,Level 4: Do Not Travel,"April 20, 2021"
Malawi Travel Advisory,Level 3: Reconsider Travel,"April 21, 2021"
